Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.93      0.11     0.11 10200000     0.00     0.00  RollingHash::mod(long long)
 14.59      0.18     0.07   800001     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_begin(unsigned long) const
  4.17      0.20     0.02  3199416     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::vector<int, std::allocator<int> >*>, std::allocator<std::pair<int const, std::vector<int, std::allocator<int> >*> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_node_allocator()
  4.17      0.22     0.02  1750339     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, std::vector<int, std::allocator<int> >*>, false>::_M_next() const
  4.17      0.24     0.02   928792     0.00     0.00  int const& std::__pair_get<0ul>::__const_get<int const, std::vector<int, std::allocator<int> >*>(std::pair<int const, std::vector<int, std::allocator<int> >*> const&)
  4.17      0.26     0.02   900000     0.00     0.00  Test::randomInt(int, int)
  4.17      0.28     0.02   100001     0.00     0.00  long long modpow<long long>(long long, long long, long long)
  2.08      0.29     0.01  4000449     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  2.08      0.30     0.01  2528794     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  2.08      0.31     0.01  1700000     0.00     0.00  RollingHash::mmul(long long, long long)
  2.08      0.32     0.01  1600002     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
